driver_id,org_id,city_id,primary_store_id,fleet_team_id,driver_name,vehicle_type,employment_mode,tenure_months,rating,acceptance_rate,on_time_rate,daily_order_capacity,attendance_risk_score,active_flag
1,1,1,1,18,Jeremiah Saxena,bike,partner,9,4.06,0.89,0.9,28,0.07,true
2,1,1,1,18,Praneel Bhatnagar,bike,contract,2,4.4,0.93,0.83,29,0.04,true
3,1,1,1,18,Aarnav Aurora,bike,partner,35,4.7,0.87,0.85,23,0.18,true
4,1,1,1,18,Wakeeta Natt,bike,partner,36,4.29,0.85,0.87,32,0.19,true
5,1,1,1,18,Upadhriti Shroff,scooter,partner,1,4.44,0.93,0.81,25,0.09,true
6,1,1,1,18,Urishilla Seshadri,bike,partner,30,4.46,0.98,0.91,28,0.13,true
7,1,1,1,18,Radha Contractor,bike,partner,30,4.53,0.95,0.94,15,0.07,true
8,1,1,1,18,Advay Vora,bike,partner,28,4.4,0.91,0.9,30,0.19,true
9,1,1,1,18,Omaja Chaudhuri,bike,partner,8,4.03,0.85,0.89,29,0.06,true
10,1,1,1,18,Nathan Khurana,bike,partner,20,4.07,0.99,0.82,14,0.21,true
11,1,1,1,18,Anmol Venkatesh,bike,partner,21,4.55,0.87,0.9,23,0.22,true
12,1,1,1,18,Faris Grover,bike,partner,34,4.26,0.9,0.83,25,0.1,true
13,1,1,1,18,Farhan Shroff,bike,partner,17,4.05,0.84,0.92,17,0.1,true
14,1,1,1,18,Ojas Palla,scooter,contract,25,4.43,0.99,0.84,16,0.06,true
15,1,1,1,18,Omaja Divan,bike,partner,30,4.1,0.85,0.83,23,0.16,true
16,1,1,1,18,Aishani Kohli,bike,partner,16,4.29,0.91,0.9,15,0.22,true
17,1,1,1,18,Anita De,bike,partner,23,4.21,0.92,0.97,32,0.1,true
18,1,1,1,18,Lucky Nori,ecycle,contract,15,4.57,0.85,0.78,30,0.11,true
19,1,1,1,18,Logan Mishra,bike,partner,31,4.28,0.84,0.95,29,0.14,true
20,1,1,1,18,Vansha Agarwal,bike,partner,32,4.39,0.9,0.8,31,0.04,true
21,1,1,1,18,Umang Peri,scooter,partner,35,4.34,0.92,0.8,24,0.18,true
22,1,1,1,18,Henry Saxena,bike,partner,1,4.35,0.86,0.83,15,0.21,true
23,1,1,1,18,Liam Padmanabhan,bike,partner,20,4.35,0.92,0.79,17,0.1,true
24,1,1,1,18,Ekiya Sahni,bike,partner,24,4.24,0.93,0.91,15,0.05,true
25,1,1,2,21,Ojas More,bike,contract,25,4.5,0.86,0.79,32,0.03,true
26,1,1,2,21,Rachit Arya,scooter,contract,23,4.4,0.92,0.85,24,0.1,true
27,1,1,2,21,Caleb Deshpande,bike,partner,27,4.47,0.98,0.87,14,0.16,true
28,1,1,2,21,Aadi Salvi,scooter,partner,3,4.13,0.89,0.92,22,0.17,true
29,1,1,2,21,Gopal Ravel,bike,partner,12,4.76,0.77,0.77,31,0.11,true
30,1,1,2,21,Amara Desai,bike,partner,20,4.18,0.97,0.9,32,0.18,true
31,1,1,2,21,Rohan Arya,bike,full_time,35,4.42,0.99,0.96,24,0.07,true
32,1,1,2,21,David Behl,ecycle,partner,4,4.41,0.9,0.89,27,0.14,true
33,1,1,2,21,Vedant Ganguly,bike,contract,11,4.34,0.97,0.89,18,0.04,true
34,1,1,2,21,Gayathri Keer,bike,partner,26,4.42,0.89,0.83,18,0.08,true
35,1,1,2,21,Fiyaz Dewan,bike,full_time,1,4.4,0.93,0.86,17,0.06,true
36,1,1,2,21,Vasatika Das,bike,partner,21,4.55,0.96,0.98,29,0.18,true
37,1,1,2,21,Amruta Vora,ecycle,partner,20,4.37,0.91,0.93,14,0.16,true
38,1,1,2,21,Garima Sagar,bike,contract,21,4.28,0.93,0.9,18,0.14,true
39,1,1,2,21,Gayathri Sundaram,bike,contract,4,4.64,0.85,0.89,16,0.05,true
40,1,1,2,21,Avni Naidu,bike,partner,35,4.12,0.87,0.88,22,0.21,true
41,1,1,2,21,Siddharth Bhasin,bike,partner,33,4.4,0.86,0.78,29,0.11,true
42,1,1,2,21,Faraj Mani,bike,partner,21,4.51,0.84,0.79,26,0.06,true
43,1,1,2,21,Jagvi Wagle,bike,full_time,8,4.62,0.89,0.7,28,0.12,true
44,1,1,2,21,Reyansh Misra,bike,partner,6,4.47,0.82,0.95,14,0.15,true
45,1,1,2,21,Vedant Bala,bike,partner,33,4.28,0.87,0.85,21,0.16,true
46,1,1,2,21,Vasana Trivedi,bike,partner,10,4.47,0.85,0.89,21,0.2,true
47,1,1,2,21,Akshay Mahal,bike,partner,7,4.06,0.94,0.84,20,0.2,true
48,1,1,2,21,Janani Mahal,bike,partner,1,4.19,0.9,0.92,30,0.19,true
49,1,1,2,21,Eesha Gour,bike,contract,5,4.56,0.88,0.85,31,0.07,true
50,1,1,2,21,Zayan Dash,bike,partner,33,4.44,0.86,0.87,24,0.05,true
51,1,1,2,21,Indira Lad,bike,partner,8,4.41,0.97,0.76,20,0.13,true
52,1,1,2,21,Chaman Jain,ecycle,partner,5,4.37,0.85,0.84,14,0.12,true
53,1,1,2,21,Vritti Sood,bike,partner,8,4.2,0.93,0.87,32,0.06,true
54,1,1,2,21,Baljiwan Deshmukh,scooter,partner,23,4.69,0.93,0.81,22,0.11,true
55,1,1,2,21,Jhalak Sodhi,bike,partner,31,4.34,0.9,0.9,27,0.03,true
56,1,1,3,24,Janani Shukla,bike,partner,16,3.88,0.99,0.91,17,0.07,true
57,1,1,3,24,Yuvraj Ratta,bike,partner,15,4.3,0.89,0.89,18,0.03,true
58,1,1,3,24,Bahadurjit Mody,scooter,partner,4,4.4,0.93,0.84,16,0.06,true
59,1,1,3,24,Tamanna Arora,bike,partner,35,4.43,0.94,0.83,32,0.13,true
60,1,1,3,24,Vasatika Chowdhury,bike,partner,28,4.49,0.85,0.84,18,0.12,true
