employee_id,org_id,team_id,store_id,city_id,employee_name,role,manager_employee_id,employment_type,shift_type,tenure_months,base_monthly_salary_inr,productivity_score,attendance_risk_score,active_flag
1,1,1,,,Anjali Sankaran,regional_ops_head,,full_time,day,31,189568,1.17,0.08,true
2,1,2,,,Theodore Majumdar,procurement_manager,1,full_time,day,20,106282,1.11,0.07,true
3,1,2,,,Nisha Apte,procurement_analyst,2,full_time,day,27,40284,0.92,0.05,true
4,1,2,,,Divya Madan,procurement_analyst,2,full_time,day,35,40352,0.92,0.08,true
5,1,2,,,Gaurika Sanghvi,procurement_analyst,2,full_time,day,37,46700,0.89,0.1,true
6,1,2,,,Chaitaly Bedi,procurement_analyst,2,full_time,day,2,42073,0.8,0.08,true
7,1,2,,,Damyanti Mukherjee,procurement_analyst,2,full_time,day,23,52485,0.85,0.1,true
8,1,3,,,Panini Ahuja,finance_controller,1,full_time,day,8,95416,1.04,0.08,true
9,1,3,,,Harini Kunda,finance_analyst,8,full_time,day,23,67546,1.07,0.06,true
10,1,3,,,Lopa Bala,finance_analyst,8,full_time,day,36,54786,1.01,0.09,true
11,1,3,,,Jeet Sagar,finance_analyst,8,full_time,day,16,48901,1.03,0.13,true
12,1,3,,,Charvi Ratta,finance_analyst,8,full_time,day,24,39788,0.95,0.08,true
13,1,3,,,Anvi Srinivas,finance_analyst,8,full_time,day,1,50200,0.8,0.13,true
14,1,4,,1,Nilima Narayanan,city_ops_manager,1,full_time,day,7,100566,1.07,0.04,true
15,1,5,,1,Arjun Dash,escalations_manager,14,full_time,day,46,104445,0.97,0.06,true
16,1,4,,1,Dakshesh Kata,city_ops_analyst,14,full_time,day,21,41003,1.04,0.12,true
17,1,4,,1,Megha Sundaram,city_ops_analyst,14,full_time,day,29,59575,0.88,0.14,true
18,1,4,,1,Aarini Vig,city_ops_analyst,14,full_time,day,20,57852,1.08,0.07,true
19,1,4,,1,Bhavani Upadhyay,city_ops_analyst,14,full_time,day,40,39058,0.86,0.06,true
20,1,5,,1,Damyanti Kulkarni,escalation_specialist,15,full_time,swing,23,44644,0.87,0.09,true
21,1,5,,1,Ekaraj Madan,escalation_specialist,15,full_time,day,44,45887,0.83,0.08,true
22,1,5,,1,Diya Mistry,escalation_specialist,15,full_time,day,22,40587,0.84,0.05,true
23,1,5,,1,Theodore Sant,escalation_specialist,15,full_time,day,34,48823,0.83,0.16,true
24,1,5,,1,Baghyawati Acharya,escalation_specialist,15,full_time,swing,48,32791,0.92,0.07,true
25,1,5,,1,Lekha Mangat,escalation_specialist,15,full_time,swing,25,51402,1.02,0.09,true
26,1,5,,1,Yash Patil,escalation_specialist,15,full_time,swing,25,36686,0.88,0.09,true
27,1,6,,2,Praneel Din,city_ops_manager,1,full_time,day,48,98450,1.07,0.07,true
28,1,7,,2,Brijesh Agrawal,escalations_manager,27,full_time,day,41,88985,1.02,0.1,true
29,1,6,,2,Ayushman Boase,city_ops_analyst,27,full_time,day,1,46563,1.06,0.08,true
30,1,6,,2,Ekbal Bali,city_ops_analyst,27,full_time,day,43,64771,0.97,0.06,true
31,1,6,,2,Rachita Khalsa,city_ops_analyst,27,full_time,day,33,39197,0.88,0.13,true
32,1,6,,2,Zinal Saha,city_ops_analyst,27,full_time,day,46,66643,1.06,0.14,true
33,1,7,,2,Nicholas Gala,escalation_specialist,28,full_time,swing,11,41568,0.99,0.1,true
